# class_id	description_ref	description_sha3_256	introduced_in_corpus_revision
bad_magic	diagnostic-classes/bad_magic.txt	79833ba39832e4af40193b89acacdf49b7137a5d826f074dc0545e98a68efe97	1
extension_region_too_large	diagnostic-classes/extension_region_too_large.txt	60cea4143ffd54004da7f478a224b424e0ab5f947ba997191656d18f87a29a55	1
header_authentication_failed	diagnostic-classes/header_authentication_failed.txt	50b3a9ef2d8cfae9ed517c357ef000db4ec344cfefc828455ade0bc72adbf24e	1
incompatible_recipients	diagnostic-classes/incompatible_recipients.txt	6b15403486e320367696bfb84e792edc108c1085ef9de5af6955c16a6535057a	1
invalid_archive_tree	diagnostic-classes/invalid_archive_tree.txt	ba5bb0b3d4f9ccffe2e1db6f4e10860af3dd8c7830cd4782cce3f353ff956b1f	1
invalid_kdf_parameters	diagnostic-classes/invalid_kdf_parameters.txt	9c6c2888bb6c84db9b080976bd08a522c6989f73b47dbe2eaa67ac5e84584605	1
malformed_archive	diagnostic-classes/malformed_archive.txt	ad4d015d973e31671f2a6300de9051e7c0f0c52eccc31ca1679137f03f7953f3	1
malformed_header	diagnostic-classes/malformed_header.txt	b1119cf53aa4a260a8448585036953a672de582a09c2c996e3720c14da504d05	1
malformed_payload_stream	diagnostic-classes/malformed_payload_stream.txt	488f6323b59bb28fa810dcedc142c0e8d0fcc92412ecb0f8f51d90c7eeb92b2d	1
malformed_private_key	diagnostic-classes/malformed_private_key.txt	ca5d3c04f733041b8a67d119cf74282becdb4c7f0ca616a51ce21d5d336f83fd	1
malformed_public_key	diagnostic-classes/malformed_public_key.txt	a4c5ea15e84b8f4653e264030003d02f7aee6ce79539e6978d3d5d01f6d3d820	1
malformed_recipient_entry	diagnostic-classes/malformed_recipient_entry.txt	9b90998d345b7658ba26525ff16722609759e3b53b5cceb99a72cee7f9e2024f	1
malformed_tlv	diagnostic-classes/malformed_tlv.txt	7b19cac76e2424439780a28cf3c383213efd0a78fc880d3ea11547dc85553b38	1
malformed_type_name	diagnostic-classes/malformed_type_name.txt	d4e862688081e448945f8028333a50955e82d5353ca9ee350d3ea1ffd15af8b4	1
no_supported_recipient	diagnostic-classes/no_supported_recipient.txt	99f5eb74fe9d13745a30adea71e9b4501112140835903392e4a8b0dc365895a5	1
not_a_key_file	diagnostic-classes/not_a_key_file.txt	c9f7fbdede7e3e7971de414dd1e464c8f0fad6c56e47ed5c11fccbce668dbd4a	1
oversized_header	diagnostic-classes/oversized_header.txt	1dffe46b30ea1a9685b88bbf0050ca04c7a106309ef3cf1483886184b9131add	1
payload_authentication_failed	diagnostic-classes/payload_authentication_failed.txt	3ec9c8c494b4f40071983f02d1d5b62295dbe9f307c9055962e3f2ba0e8de169	1
payload_truncated	diagnostic-classes/payload_truncated.txt	999280e463d1ee1fefe10e94c2e4b4af3e9f0892c75954b5c0db36b3914dd093	1
private_key_unlock_failed	diagnostic-classes/private_key_unlock_failed.txt	e19e78590f3a47befabc39269e66ed49a6716a3e78f6678ace6af2d88416e81d	1
recipient_count_out_of_range	diagnostic-classes/recipient_count_out_of_range.txt	e9a95f5596a63e8f6446f9060d678a9e99b889f0d90f89cabe60d9d42350d365	1
recipient_flags_reserved	diagnostic-classes/recipient_flags_reserved.txt	99fb83d7ea547c3c4307a9ea43a348e9bd385e1bd919675944c5451effcb40cc	1
recipient_unwrap_failed	diagnostic-classes/recipient_unwrap_failed.txt	209d5793b872639f787abc186d14d36f8ecf70a2a6e310717d43e436e152c6a6	1
resource_cap_exceeded	diagnostic-classes/resource_cap_exceeded.txt	48678c8fd37ea01b234c2340d6d1c7b11b3181222c8c32cfdc41058ce1826d49	1
truncated	diagnostic-classes/truncated.txt	55bfce49c59f7a97905d1402738b4d10e1c3ddf3088c2c464500d372c695ee45	1
unknown_critical_recipient	diagnostic-classes/unknown_critical_recipient.txt	4e6003e2e7fb54092306588015eacbee2d525126d4057a434975c2848c4fe340	1
unknown_critical_tlv	diagnostic-classes/unknown_critical_tlv.txt	f72284cc72b3e55e962d0eb0130dd4eb49c5a6ef71a46a428c3b90ca13da6c7c	1
unsafe_archive_path	diagnostic-classes/unsafe_archive_path.txt	0104cf7c5aea8c299226f4c733e15e1e572b5583647f80c99a5377428917c7b5	1
unsupported_fca_version	diagnostic-classes/unsupported_fca_version.txt	217c9db50dd9351ab66b6bf92b2de61831f35c8a9fcda1002e4c0f8d22ed12fc	1
unsupported_key_type	diagnostic-classes/unsupported_key_type.txt	463c7bc31e72bb3fe3893a7ac0762e45df9324f520d22061e0ae46aaa71642a0	1
unsupported_outer_version	diagnostic-classes/unsupported_outer_version.txt	0565af283c130b2b33a6dcb60313ef15d2e5d339b9bcf79ceca626c435d62951	1
unsupported_private_key_version	diagnostic-classes/unsupported_private_key_version.txt	96541bbf1baf89a6748ce9511cefbc8b44da6f6ea7a7879acbe0e8767f6e55bb	1
unsupported_public_key_version	diagnostic-classes/unsupported_public_key_version.txt	b7a18737a80b0f35d52b73bf5d4c1dcea6e93b64644447ad9b39e30a121a4532	1
wrong_key_file_type	diagnostic-classes/wrong_key_file_type.txt	3a37b85ecfbb2d7abcf77d8ebf687605db361a4f58682fdcfc0fb375886c02aa	1
wrong_kind	diagnostic-classes/wrong_kind.txt	cd9b352afdabffd0620dc72a249562a4eb66e56a238d5c3684bc2baa1d71454e	1
